step,status,tilt_x,roof_convergence,lstm_mse,gru_error
24,CRITICAL COLLAPSE,16.249223576495048,245.0,78.24303436279297,5.746545346581191
25,CRITICAL COLLAPSE,16.13645168086715,245.0,77.291015625,5.774920833973545
24,CRITICAL COLLAPSE,15.90447961948442,245.0,84.39430236816406,5.631327923402439
26,CRITICAL COLLAPSE,16.043556605396855,245.0,77.62603759765625,5.6823247679300195
27,CRITICAL COLLAPSE,16.04401666804737,245.0,77.80209350585938,5.724012389550173
28,CRITICAL COLLAPSE,16.006404507641104,245.0,79.04057312011719,5.754670597193656
29,CRITICAL COLLAPSE,16.052767921535832,245.0,83.03538513183594,5.715730012328308
30,CRITICAL COLLAPSE,16.073247525569816,245.0,83.62655639648438,5.738494284007881
31,CRITICAL COLLAPSE,16.213081216267717,245.0,85.25867462158203,5.771261498498308
32,CRITICAL COLLAPSE,16.189900255900657,245.0,87.42999267578125,5.800186692846406
33,CRITICAL COLLAPSE,16.02305981968851,245.0,88.32699584960938,5.805211979389914
34,CRITICAL COLLAPSE,16.23446145702987,245.0,89.63314056396484,5.822927920991758
35,CRITICAL COLLAPSE,16.132698657568284,245.0,90.03459167480469,5.823571240926835
36,CRITICAL COLLAPSE,16.097207246103142,245.0,92.63787841796875,5.771260987486641
37,CRITICAL COLLAPSE,16.16004696448652,245.0,93.73755645751953,5.893828095589222
24,CRITICAL COLLAPSE,16.086559334288687,245.0,85.02952575683594,5.613164359599274
25,CRITICAL COLLAPSE,15.956495172775877,245.0,85.9227523803711,5.724315764425968
38,CRITICAL COLLAPSE,16.15390355420484,245.0,92.98407745361328,5.839152652008472
26,CRITICAL COLLAPSE,16.19532922756682,245.0,85.0244140625,5.767780855781337
39,CRITICAL COLLAPSE,16.09459024845301,245.0,92.58277130126953,5.869176792653843
27,CRITICAL COLLAPSE,16.316177752727903,245.0,85.65896606445312,5.833112698841784
40,CRITICAL COLLAPSE,16.066783598141136,245.0,92.63560485839844,5.819649265497197
28,CRITICAL COLLAPSE,15.964155145106218,245.0,85.66413116455078,5.803586722881845
41,CRITICAL COLLAPSE,16.08559981757055,245.0,92.22581481933594,5.829909673633545
29,CRITICAL COLLAPSE,15.95067059336648,245.0,84.1778335571289,5.826753575061397
42,CRITICAL COLLAPSE,16.126997292693304,245.0,92.2693099975586,5.832403237787307
30,CRITICAL COLLAPSE,16.028610843415933,245.0,83.98841857910156,5.767703382270585
43,CRITICAL COLLAPSE,16.12715322715494,245.0,93.009521484375,5.842309482222405
31,CRITICAL COLLAPSE,15.899822573565507,245.0,84.1074447631836,5.754214400219198
44,CRITICAL COLLAPSE,16.01457146351365,245.0,57.80191421508789,5.757983330505483
45,CRITICAL COLLAPSE,16.11045540737764,245.0,57.32952880859375,5.858957647422986
32,CRITICAL COLLAPSE,15.926364891735492,245.0,85.14189910888672,5.806056408186941
46,CRITICAL COLLAPSE,16.22512660093215,245.0,57.88787078857422,5.881654193835165
33,CRITICAL COLLAPSE,16.063726678776405,245.0,84.6653823852539,5.870731680730878
47,CRITICAL COLLAPSE,15.980016327282897,245.0,57.66195297241211,5.804869742157561
34,CRITICAL COLLAPSE,16.115816986070627,245.0,86.50042724609375,5.832078281729799
48,CRITICAL COLLAPSE,15.91373143405492,245.0,58.16429138183594,5.696133843480914
35,CRITICAL COLLAPSE,16.37370819017643,245.0,85.29812622070312,5.897158526660276
49,CRITICAL COLLAPSE,16.099598537545475,245.0,57.92634201049805,5.770315827970571
36,CRITICAL COLLAPSE,15.984139390597065,245.0,84.99797821044922,5.821911149810624
50,CRITICAL COLLAPSE,16.203506696428743,245.0,58.40734100341797,5.909281521097243
37,CRITICAL COLLAPSE,15.865784696342137,245.0,85.69133758544922,5.836727835158142
51,CRITICAL COLLAPSE,16.01716050072059,245.0,58.70985412597656,5.806297802752188
38,CRITICAL COLLAPSE,16.129393796600745,245.0,86.22247314453125,5.909869682094733
52,CRITICAL COLLAPSE,16.109181514004614,245.0,57.826927185058594,5.8307600601932235
39,CRITICAL COLLAPSE,16.06990737076772,245.0,86.36804962158203,5.927071669291236
53,CRITICAL COLLAPSE,16.105886594915102,245.0,56.99030685424805,5.815585073657192
40,CRITICAL COLLAPSE,15.922319897388123,245.0,87.85221099853516,5.7556710371861435
54,CRITICAL COLLAPSE,16.0860562119848,245.0,57.96473693847656,5.808914110132565
41,CRITICAL COLLAPSE,15.94960135121631,245.0,87.71434020996094,5.736812798928688
55,CRITICAL COLLAPSE,15.938899948810791,245.0,57.74028778076172,5.662167307780019
42,CRITICAL COLLAPSE,16.17922473296464,245.0,88.8897933959961,5.859281401219583
56,CRITICAL COLLAPSE,16.013725320878173,245.0,56.442718505859375,5.845552235330255
43,CRITICAL COLLAPSE,16.177179241676093,245.0,89.49837493896484,5.892518320919759
57,CRITICAL COLLAPSE,16.236622449611925,245.0,56.166786193847656,5.861555838990188
44,CRITICAL COLLAPSE,16.185800322870353,245.0,53.13346481323242,5.888505405840168
58,CRITICAL COLLAPSE,16.101499406908754,245.0,55.52690505981445,5.933535692923576
45,CRITICAL COLLAPSE,16.019323516407866,245.0,50.247161865234375,5.811276671984461
59,CRITICAL COLLAPSE,16.2778744641635,245.0,55.17722702026367,5.891003041720848
46,CRITICAL COLLAPSE,16.01031541574752,245.0,49.44040298461914,5.846492621545374
60,CRITICAL COLLAPSE,16.059288287883984,245.0,54.64081954956055,5.766292786517272
47,CRITICAL COLLAPSE,16.14516765097737,245.0,48.6596794128418,5.771666226755379
61,CRITICAL COLLAPSE,16.1378282069686,245.0,54.054664611816406,5.86525959808469
48,CRITICAL COLLAPSE,16.188092489200372,245.0,49.284637451171875,5.904391100423619
62,CRITICAL COLLAPSE,16.154537348696973,245.0,54.698265075683594,5.901327532300054
49,CRITICAL COLLAPSE,16.313279371827434,245.0,49.941650390625,5.953585579374935
63,CRITICAL COLLAPSE,16.280702827248902,245.0,56.92034912109375,5.8382253962033674
